model,manufacturer,power_w,area_m2,price_usd
Q.PEAK DUO M-G11S 400,Qcells,400,1.87,290
Q.PEAK DUO M-G11S 405,Qcells,405,1.9,292
Q.PEAK DUO M-G11S 410,Qcells,410,1.92,295
Q.PEAK DUO M-G11S 415,Qcells,415,1.94,298
Q.PEAK DUO M-G11S 420,Qcells,420,1.97,300
EVPV400H,Panasonic,400,2.09,320
EVPV410H,Panasonic,410,2.14,328
Alpha Pure-R 400,REC Group,400,1.75,300
Alpha Pure-R 410,REC Group,410,1.79,308
Alpha Pure-R 420,REC Group,420,1.84,315
Alpha Pure-R 430,REC Group,430,1.88,322
HiKu6 CS6R-400MS,Canadian Solar,400,1.95,150
TOPHiKu6 CS6.2-48TM-H 440,Canadian Solar,440,2.1,185
TOPHiKu6 CS6.2-48TM-H 445,Canadian Solar,445,2.12,187
TOPHiKu6 CS6.2-48TM-H 450,Canadian Solar,450,2.15,189
TOPHiKu6 CS6.2-48TM-H 455,Canadian Solar,455,2.17,191
TOPHiKu6 CS6.2-48TM-H 460,Canadian Solar,460,2.2,193
TOPHiKu6 CS6.2-48TM-H 465,Canadian Solar,465,2.22,195
TOPHiKu6 CS6.2-48TM-H 470,Canadian Solar,470,2.24,197
Tiger Neo JKM410N-54HL4-(V),JinkoSolar,410,1.93,137
Tiger Neo JKM415N-54HL4-(V),JinkoSolar,415,1.95,139
Tiger Neo JKM420N-54HL4-(V),JinkoSolar,420,1.97,141
Tiger Neo JKM425N-54HL4-(V),JinkoSolar,425,2.0,142
Tiger Neo JKM430N-54HL4-(V),JinkoSolar,430,2.02,144
Vertex S+ TSM-425NEG9R.25,Trina Solar,425,2.0,139
Vertex S+ TSM-430NEG9R.25,Trina Solar,430,2.0,140
Vertex S+ TSM-435NEG9R.25,Trina Solar,435,2.0,141
Vertex S+ TSM-440NEG9R.25,Trina Solar,440,2.0,142
Vertex S+ TSM-445NEG9R.25,Trina Solar,445,2.0,143
Vertex S+ TSM-450NEG9R.25,Trina Solar,450,2.0,144
Maxeon 6 SPR-MAX6-420,SunPower/Maxeon,420,1.84,945
Maxeon 6 SPR-MAX6-425,SunPower/Maxeon,425,1.86,956
Maxeon 6 SPR-MAX6-430,SunPower/Maxeon,430,1.89,968
Maxeon 6 SPR-MAX6-435,SunPower/Maxeon,435,1.91,979
Maxeon 6 SPR-MAX6-440,SunPower/Maxeon,440,1.93,990
Hi-MO X10 Explorer,LONGi Solar,500,2.04,158
Hi-MO 6 Explorer LR5-54HTH-415,LONGi Solar,415,2.0,124
Hi-MO 6 Explorer LR5-54HTH-420,LONGi Solar,420,2.02,126
Hi-MO 6 Explorer LR5-54HTH-425,LONGi Solar,425,2.04,128
Hi-MO 6 Explorer LR5-54HTH-430,LONGi Solar,430,2.07,129
Hi-MO 6 Explorer LR5-54HTH-435,LONGi Solar,435,2.09,130
Hi-MO 6 Explorer LR5-54HTH-440,LONGi Solar,440,2.12,132
